분류1,분류2,이름,태그목록,NSFW
몸,동작,네 발로 걷다,crawling,FALSE
몸,동작,네 발로 서다,all_fours,FALSE
몸,동작,네 발로 서서 엉덩이를 들다,top-down_bottom-up,FALSE
몸,동작,네 발을 들고 복종하다,prostration,FALSE
몸,동작,두 발로 걷다,walking,FALSE
몸,동작,두 발로 달리다,running,FALSE
몸,동작,두 발로 점프하다,jumping,FALSE
몸,동작,물구나무서다,handstand,FALSE
몸,동작,발도 자세를 잡는다,battoujutsu_stance,FALSE
몸,동작,상하반전,upside-down,FALSE
몸,동작,서서 균형을 잡다,balancing,FALSE
몸,동작,손으로 벽을 타다,wallwalking,FALSE
몸,동작,슈퍼 히어로 랜딩,superhero_landing,FALSE
몸,동작,스트레칭,stretching,FALSE
몸,동작,싸울 자세를 잡는다,fighting_stance,FALSE
몸,동작,양쪽 다리로 서다,standing,FALSE
몸,동작,얼굴로 떨어지다,faceplant,FALSE
몸,동작,전갈 자세를 잡는다,full_scorpion,FALSE
몸,동작,한쪽 다리로 서다,standing_on_one_leg,FALSE
몸,앉다,앉다,sitting,FALSE
몸,앉다,나비처럼 앉다,butterfly_sitting,FALSE
몸,앉다,일본식으로 앉다,seiza,FALSE
몸,앉다,무릎 위에 앉다,sitting_on_lap,FALSE
몸,앉다,사람 위에 앉다,sitting_on_person,FALSE
몸,앉다,쪼그려 앉다,squatting,FALSE
몸,앉다,양쪽으로 앉다,wariza,FALSE
몸,앉다,한쪽으로 앉다,yokozuwari,FALSE
몸,눕다,눕다,lying,FALSE
몸,눕다,누워서 다리를 꼬다,crossed_legs,FALSE
몸,눕다,누워서 웅크리다,fetal_position,FALSE
몸,눕다,뒤로 눕다,on_back,FALSE
몸,눕다,옆으로 눕다,on_side,FALSE
몸,눕다,엎드려 눕다,on_stomach,FALSE
몸,기대다,기대다,reclining,FALSE
몸,기대다,몸을 기대다,leaning,FALSE
몸,기대다,몸을 앞으로 기대다,leaning_forward,FALSE
몸,기대다,몸을 뒤로 기대다,leaning_back,FALSE
몸,기대다,몸을 사람에게 기대다,leaning_on_person,FALSE
몸,기대다,몸을 물건에 기대다,leaning_on_object,FALSE
몸,기대다,몸을 벽에 기대다,against_wall,FALSE
몸,기대다,몸을 나무에 기대다,against_tree,FALSE
몸,기대다,몸을 펜스에 기대다,against_glass,FALSE
몸,기대다,몸을 차량에 기대다,leaning_against_car,FALSE
몸,기대다,몸을 오토바이에 기대다,leaning_against_motorcycle,FALSE
몸,기대다,몸을 옆으로 기대다,leaning_against_vehicle,FALSE
몸,껴안다,껴안다,hug,FALSE
몸,껴안다,껴안다,Hugging,FALSE
몸,껴안다,꼬리로 껴안다,tail_hug,FALSE
몸,껴안다,날개로 껴안다,wing_hug,FALSE
몸,껴안다,다리를 껴안다,hugging_own_legs,FALSE
몸,껴안다,뒤에서 껴안다,hug_from_behind,FALSE
몸,껴안다,물건을 껴안다,object_hug,FALSE
몸,껴안다,팔로 껴안다,arm_hug,FALSE
몸,껴안다,허리를 껴안다,waist_hug,FALSE
몸,껴안다,1명 이상을 껴안다,Hugging_doable_by_one_or_more_characters,FALSE
몸,껴안다,2명 이상을 껴안다,2Posture_of_at_least_two_characters,FALSE
몸,껴안다,2명 이상을 포옹하다,2Hugging_doable_by_two_or_more_characters,FALSE
몸,기울이다,등을 기울이다,Torso_inclination,FALSE
몸,기울이다,등이 구부정하다,slouching,FALSE
몸,기울이다,등을 뒤틀다,twisted_torso,FALSE
몸,기울이다,등이 휘었다,arched_back,FALSE
몸,기울이다,등을 구부렸다,bent_over,FALSE
몸,올리다,가슴을 들다,carried_breast_rest,FALSE
몸,올리다,겨드랑이에 끼고 들다,carrying_under_arm,FALSE
몸,올리다,공주님 안기,princess_carry,FALSE
몸,올리다,들쳐매다,carrying,FALSE
몸,올리다,등에 엎고 나르다,piggyback,FALSE
몸,올리다,사람을 들쳐매다,Carrying_someone,FALSE
